block,row,col,pop,mf,rep,height (cm),longest leaf (cm),herbivory (Y or N),Notes
H2,41,B,buffer,,,,,,
H1,1,C,buffer,,,,,,
H1,1,D,buffer,,,,,,
H1,2,C,buffer,,,,,,
H1,2,D,buffer,,,,,,
H1,3,C,WL1,1,14,1.5,2.1,N,
H1,3,D,IH,4,4,,,,dead
H1,4,C,SC,6,2,2.5,2,N,wilted
H1,4,D,WL2,3,7,0.2,1.2,N,
H1,5,C,BH,5,28,4.5,5.1,Y,
H1,5,D,SQ2,6,7,0.2,0.6,N,near death
H1,6,C,TM2,1,5,10.2,3.6,N,
H1,6,D,LV3,4,1,2.1,1.6,N,
H1,7,C,DPR,2,10,7.8,3.5,N,
H1,7,D,CP3,9,1,-,-,-,dead
H1,8,C,SQ1,6,7,0.3,3.3,Y,
H1,8,D,YO11,5,13,2.3,1.1,N,
H1,9,C,IH,4,22,-,-,-,dead
H1,9,D,CC,2,2,5.1,3,N,
H1,10,C,BH,6,11,4.3,4,Y,
H1,10,D,WL1,7,5,3.5,4.6,Y,
H1,11,C,WL1,1,7,2.5,2.8,N,
H1,11,D,WL1,4,4,4,3.1,Y,
H1,12,C,SQ1,2,5,2.3,3.6,N,
H1,12,D,SQ3,7,7,1.8,2.4,Y,
H1,13,C,WL1,6,14,-,-,-,dead
H1,13,D,YO7,8,2,1.4,2,N,
H1,14,C,LV3,8,2,2.2,2.2,N,
H1,14,D,SC,5,3,2.3,3.5,N,
H1,15,C,CP2,3,10,0.6,2.1,N,
H1,15,D,BH,5,13,4.6,4.2,N,
H1,16,C,CP2,10,2,1.8,1.5,Y,
H1,16,D,IH,7,6,4.3,3.8,N,
H1,17,C,BH,2,2,3.5,1.9,Y,
H1,17,D,TM2,2,13,6.6,2.5,N,
H1,18,C,LV3,1,10,1.9,1.2,N,
H1,18,D,WL1,7,19,3.8,1.8,N,
H1,19,C,BH,7,21,5.3,5.3,Y,
H1,19,D,LV1,4,5,1,1,Y,
H1,20,C,buffer,,,,,,
H1,20,D,buffer,,,,,,
H2,21,C,buffer,,,,,,
H2,21,D,WL1,6,25,-,-,-,dead
H2,22,C,LV3,2,2,-,-,-,dead
H2,22,D,BH,2,3,3,3.8,N,
H2,23,C,BH,7,22,3,4.5,Y,
H2,23,D,WL1,6,9,3,3,N,
H2,24,C,LV3,8,6,2.4,1.4,N,
H2,24,D,YO8,7,9,-,-,-,dead
H2,25,C,DPR,2,6,7.9,3.9,Y,
H2,25,D,WL2,4,5,-,-,-,dead
H2,26,C,WL1,4,5,4.1,3.4,Y,
H2,26,D,SQ2,6,8,-,-,-,dead
H2,27,C,LV3,1,11,-,-,-,dead
H2,27,D,BH,6,12,3.9,4.3,N,
H2,28,C,WL1,3,1,3.2,3.6,Y,
H2,28,D,SQ1,1,3,1.7,1.8,Y,
H2,29,C,FR,1,13,6.6,4.1,Y,
H2,29,D,LV3,7,6,2.6,2,N,
H2,30,C,WL2,1,8,-,-,-,dead
H2,30,D,TM2,1,6,9.1,4.5,N,
H2,31,C,CP2,6,10,1.9,2.9,Y,
H2,31,D,YO11,7,1,-,-,-,dead
H2,32,C,SC,6,3,3.5,4.5,N,
H2,32,D,CP2,3,4,1,1.2,N,
H2,33,C,LVTR,3,12,2,1.7,Y,
H2,33,D,FR,6,4,4,2,N,"wilted, near death"
H2,34,C,CP2,3,6,2.8,4.1,N,
H2,34,D,LV3,5,3,2,1.5,N,
H2,35,C,BH,2,13,3,3,N,
H2,35,D,SQ1,7,16,,,,
H2,36,C,CC,2,1,6.1,3.4,N,
H2,36,D,WL2,5,3,-,-,-,dead
H2,37,C,CP2,9,1,-,-,-,dead
H2,37,D,IH,7,7,2.1,2.5,N,wilted
H2,38,C,WL1,7,6,2,1.2,Y,"wilted, near death"
H2,38,D,SQ3,6,10,1.2,1.3,Y,
H2,39,C,WL1,6,15,-,-,-,dead
H2,39,D,SC,2,11,-,-,-,dead
H2,40,C,buffer,,,,,,
H2,40,D,buffer,,,,,,
H2,41,C,buffer,,,,,,
H2,41,D,buffer,,,,,,
J1,0,A,buffer,,,,,,
J1,1,A,buffer,,,,,,
J1,1,B,buffer,,,,,,
J1,2,A,buffer,,,,,,
J1,2,B,buffer,,,,,,
J1,3,A,WL1,6,26,2.9,2.4,N,
J1,3,B,BH,6,13,-,-,-,Dead
J1,4,A,SQ1,7,9,1.6,3.4,N,
J1,4,B,BH,2,4,3.3,5.6,N,
J1,5,A,LV3,6,7,0.9,1.5,N,
J1,5,B,TM2,3,10,2.8,3.1,N,
J1,6,A,WL1,1,26,2.7,1.9,N,Wilted /diseased
J1,6,B,DPR,6,10,4,3.1,N,
J1,7,A,SQ1,1,4,1.3,1.6,Y,Wilted
J1,7,B,SQ1,2,3,2.1,3.6,Y,
J1,8,A,TM2,4,10,8.2,5,N,
J1,8,B,FR,1,1,4.7,5.2,Y,
J1,9,A,YO11,6,13,-,-,-,Dead
J1,9,B,SC,4,4,2,4.4,N,
J1,10,A,CC,3,2,7.1,1.5,,root rot
J1,10,B,SC,5,5,4.2,3.6,N,
J1,11,A,LV3,6,13,2.6,2.1,N,
J1,11,B,FR,2,11,3.6,3.4,N,Wilted
J1,12,A,WL2,5,8,-,-,-,Dead
J1,12,B,CC,4,4,4.6,3.4,Y,
J1,13,A,SQ1,7,17,3.4,4.3,Y,
J1,13,B,IH,6,13,6.4,5.8,Y,
J1,14,A,WL1,1,16,-,-,-,Dead
J1,14,B,IH,4,6,5.1,3,N,
J1,15,A,WL1,3,12,-,-,-,Dead
J1,15,B,YO4,1,1,-,-,-,Dead
J1,16,A,TM2,1,7,-,-,-,Dead
J1,16,B,SC,6,4,4,5.4,N,
J1,17,A,WL1,4,6,3.2,2.6,N,
J1,17,B,LV3,2,7,1.5,2,N,Root rot /Dead
J1,18,A,YO8,7,10,2.9,4.1,Y,
J1,18,B,VTR,6,2,2.2,2.1,Y,Root rot / Dead
J1,19,A,WL2,1,13,1.2,1.4,N,
J1,19,B,BH,3,11,4.8,4.8,N,
J1,20,A,LV3,1,12,1.9,1.4,N,
J1,20,B,BH,7,10,-,-,-,Dead
J1,21,A,YO11,3,13,4.2,1.8,N,
J1,21,B,WL1,6,16,3.4,2.9,N,
J2,22,A,WL1,7,22,2.7,2.8,N,
J2,22,B,buffer,,,,,,
J2,23,A,WL1,2,7,4.1,2.7,y,
J2,23,B,WL1,1,27,2.1,2.7,Y,
J2,24,A,LVTR,6,11,3.2,1.9,Y,
J2,24,B,IH,4,15,4.4,4,N,
J2,25,A,SC,6,5,4.5,3.2,N,
J2,25,B,WL1,6,27,3.4,3.8,y,
J2,26,A,SQ2,8,2,-,-,-,Dead
J2,26,B,FR,7,9,4,3.4,Y,
J2,27,A,LV3,1,13,3.5,2.2,N,
J2,27,B,YO7,4,12,3.3,2.9,N,
J2,28,A,CC,5,6,3.8,0.3,N,
J2,28,B,WL2,3,4,1.3,2.3,Y,
J2,29,A,IH,4,7,6.1,3.1,N,
J2,29,B,TM2,1,10,5.5,2.4,Y,
J2,30,A,CP2,7,7,1.6,3.2,y,
J2,30,B,SQ1,4,13,2.2,2.7,N,root rot / Dead
J2,31,A,TM2,4,12,8.7,3.5,Y,
J2,31,B,FR,4,2,3.4,3,Y,
J2,32,A,DPR,2,12,7.1,0.9,N,root rot/dead
J2,32,B,DPR,6,11,5.2,1.9,N,
J2,33,A,BH,3,2,4,3.6,N,
J2,33,B,TM2,2,6,7.4,3.3,N,
J2,34,A,FR,2,2,3.5,3.1,Y,
J2,34,B,WL1,1,17,2.8,2.5,Y,
J2,35,A,LV3,7,9,2.8,2.1,-,
J2,35,B,LV3,5,6,1,1.7,Y,Root rot/dead
J2,36,A,TM2,6,1,-,-,-,Dead
J2,36,B,BH,5,31,-,-,-,Dead
J2,37,A,WL2,4,8,-,-,-,Dead
J2,37,B,BH,1,7,2.6,4.2,Y,
J2,38,A,SQ1,7,10,2.1,4,N,
J2,38,B,CC,3,9,4.6,2,N,
J2,39,A,WL1,1,10,2.6,2.2,N,
J2,39,B,SQ1,1,5,1.5,3.5,N,
J2,40,A,CP2,3,2,3.1,1.9,N,
J2,40,B,CP3,6,13,-,-,-,Dead
J2,41,A,buffer,,,,,,
J2,41,B,BH,6,4,5.2,3.3,N,
J2,42,A,buffer,,,,,,
J2,42,B,buffer,,,,,,
J2,43,A,buffer,,,,,,
J2,43,B,buffer,,,,,,
J1,0,C,buffer,,,,,,
J1,1,C,buffer,,,,,,
J1,1,D,buffer,,,,,,
J1,2,C,buffer,,,,,,
J1,2,D,buffer,,,,,,
J1,3,C,SQ3,6,12,0.6,2.4,N,
J1,3,D,CP2,1,6,1.4,3.6,N,
J1,4,C,IH,7,8,3.5,3.8,N,
J1,4,D,BH,6,3,-,-,-,Dead
J1,5,C,YO7,5,1,-,-,-,Dead
J1,5,D,LV3,1,2,-,-,-,Dead
J1,6,C,IH,5,10,2.2,0.4,N,
J1,6,D,WL1,7,21,1.8,1.6,N,
J1,7,C,LV3,5,5,2.6,2,Y,
J1,7,D,FR,6,2,-,-,-,Dead
J1,8,C,WL1,7,7,-,-,-,Dead
J1,8,D,CP2,8,3,-,-,-,Dead
J1,9,C,BH,5,30,5.1,4.5,Y,
J1,9,D,CC,2,6,4,2.4,N,Wilted
J1,10,C,BH,3,1,3.4,4.2,Y,
J1,10,D,IH,4,14,-,-,-,Dead
J1,11,C,YO8,7,4,2.1,3.1,Y,Diseased
J1,11,D,CP2,7,12,-,-,-,Dead
J1,12,C,BH,7,23,-,-,-,Dead
J1,12,D,SQ2,7,7,2.2,1.9,N,wilted
J1,13,C,TM2,6,7,5.9,4.3,N,
J1,13,D,WR,1,6,-,-,-,Dead
J1,14,C,WL1,6,10,2.7,3.8,Y,
J1,14,D,BH,4,8,4.1,1.6,N,
J1,15,C,WL1,1,9,-,-,-,Dead
J1,15,D,CP3,2,7,-,-,-,Dead
J1,16,C,CC,6,4,4.6,2.5,N,root rot/dead
J1,16,D,BH,5,5,-,-,-,Dead
J1,17,C,WL2,4,6,2.6,1.8,N,
J1,17,D,SQ2,6,10,-,-,-,Dead
J1,18,C,SC,2,2,-,-,-,Dead
J1,18,D,LV3,7,8,2.2,1.6,N,
J1,19,C,BH,5,20,4.5,4.6,N,
J1,19,D,VTR,7,4,-,-,-,Dead
J1,20,C,CP2,3,12,1.3,2.2,N,
J1,20,D,WL1,2,6,-,-,-,Dead
J1,21,C,buffer,,,,,,
J1,21,D,DPR,4,8,3.8,2.8,N,
J2,22,C,buffer,,,,,,
J2,22,D,buffer,,,,,,
J2,23,C,YO4,4,3,-,-,-,Dead
J2,23,D,BH,4,9,5.2,3.6,N,
J2,24,C,SQ2,6,11,-,-,-,Dead
J2,24,D,WL1,5,3,-,-,-,Dead
J2,25,C,WL2,5,4,-,-,-,Dead
J2,25,D,BH,2,5,2.5,3.4,Y,
J2,26,C,YO8,7,6,2.4,2.7,Y,
J2,26,D,CP2,5,1,-,-,-,Dead
J2,27,C,YO7,6,10,-,-,-,Dead
J2,27,D,IH,7,9,2.7,2.6,Y,
J2,28,C,SC,4,5,-,-,-,Dead
J2,28,D,WL1,6,17,3.5,2.3,N,wilted
J2,29,C,YO11,2,2,3.6,1.9,N,
J2,29,D,SQ2,4,2,-,-,-,Dead
J2,30,C,BH,4,14,4.6,3.9,N,
J2,30,D,WL1,4,7,-,-,-,Dead
J2,31,C,BH,5,6,7.2,3.4,Y,
J2,31,D,BH,7,14,5.5,5.4,N,
J2,32,C,WR,1,9,-,-,-,Dead
J2,32,D,BH,3,12,3.7,4.2,N,
J2,33,C,WL1,6,1,-,-,-,Dead
J2,33,D,LV3,6,5,1.7,1.8,N,
J2,34,C,LV3,1,3,1,1.8,N,
J2,34,D,SQ1,7,18,-,-,-,Dead
J2,35,C,BH,7,11,-,-,-,Dead
J2,35,D,SC,5,7,-,-,-,Dead
J2,36,C,CC,5,5,4,3.6,N,
J2,36,D,BH,5,21,3.1,3.2,N,
J2,37,C,WL1,7,8,2.2,3,Y,
J2,37,D,IH,5,11,-,-,-,Dead
J2,38,C,LV3,8,4,-,-,-,Dead
J2,38,D,LV3,2,6,-,-,-,Dead
J2,39,C,CC,2,3,8.1,4.6,N,
J2,39,D,SQ3,4,10,-,-,-,Dead
J2,40,C,FR,5,3,-,-,-,Dead
J2,40,D,WL1,6,11,2.2,2.9,Y,
J2,41,C,buffer,,,,,,
J2,41,D,BH,7,1,-,-,-,Dead
J2,42,C,buffer,,,,,,
J2,42,D,buffer,,,,,,
J2,43,C,buffer,,,,,,
J2,43,D,buffer,,,,,,
L1,1,A,buffer,,,,,,
L1,1,B,buffer,,,,,,
L1,2,A,buffer,,,,,,
L1,2,B,buffer,,,,,,
L1,3,A,YO11,7,13,1.3,0.5,Y,
L1,3,B,IH,4,8,4.1,4.5,N,
L1,4,A,SC,5,8,4.6,4.1,Y,
L1,4,B,CP2,2,2,-,-,-,Dead
L1,5,A,WL2,3,100,0.3,0.4,N,New plant WL2 3-100
L1,5,B,BH,2,6,3.4,4.7,N,
L1,6,A,TM2,1,11,6.7,3.8,N,
L1,6,B,WL1,1,28,3.8,2.4,Y,
L1,7,A,WL1,1,18,2.6,2.1,Y,
L1,7,B,SQ2,5,7,1.9,1.7,Y,
L1,8,A,CC,4,6,4.1,2.3,N,
L1,8,B,BH,7,2,2.3,4.7,Y,
L1,9,A,WV,4,4,-,-,-,Dead
L1,9,B,DPR,3,7,-,-,-,Dead
L1,10,A,BH,2,14,1.5,2.6,Y,
L1,10,B,SC,1,9,2.8,2.2,Y,
L1,11,A,CP2,3,8,1.8,3.5,Y,
L1,11,B,BH,3,3,1.9,3.5,N,
L1,12,A,WL2,4,9,2.3,2.5,N,
L1,12,B,SC,6,6,3.6,4.1,Y,
L1,13,A,FR,6,12,3.9,2.6,Y,
L1,13,B,SQ1,7,19,2.5,3.2,Y,wilted
L1,14,A,IH,1,7,1.2,1.6,N,wilted
L1,14,B,YO7,8,3,1.8,0.5,Y,
L1,15,A,BH,5,7,-,-,-,Dead
L1,15,B,TM2,3,12,6.2,4.4,Y,
L1,16,A,FR,5,10,-,-,-,Dead
L1,16,B,WL1,6,2,1.8,1.5,Y,wilted
L1,17,A,WL1,2,8,-,-,-,Dead
L1,17,B,FR,2,1,-,-,-,Dead
L1,18,A,TM2,7,11,6.7,3.7,N,
L1,18,B,LV3,2,4,-,-,-,Dead
L1,19,A,LVTR,5,12,-,-,-,Dead
L1,19,B,DPR,4,11,4.2,2,N,wilted
L1,20,A,BH,7,15,2.3,3.1,Y,wilted
L1,20,B,YO11,6,6,-,-,-,Dead
L1,21,A,TM2,2,5,6.7,2.6,Y,
L1,21,B,IH,4,16,-,-,-,Dead
L1,22,A,LV3,4,6,2.2,1.9,Y,
L1,22,B,WL1,7,23,-,-,-,Dead
L2,23,A,buffer,,,,,,
L2,23,B,buffer,,,,,,
L2,24,A,YO8,6,2,-,-,-,Dead
L2,24,B,IH,7,1,-,-,-,Dead
L2,25,A,CP2,5,10,1.4,2.6,Y,
L2,25,B,WL1,1,19,-,-,-,Dead
L2,26,A,SC,4,7,3.4,4,N,
L2,26,B,IH,1,6,,-,-,Dead
L2,27,A,WL1,6,19,-,-,-,Dead
L2,27,B,WL1,2,9,-,-,-,Dead
L2,28,A,CP2,7,6,-,-,-,Dead
L2,28,B,IH,4,17,-,-,-,Dead
L2,29,A,CP2,9,4,0.7,1.5,Y,
L2,29,B,WL1,1,2,-,-,-,Dead
L2,30,A,TM2,1,12,12.2,4.2,Y,
L2,30,B,YO11,6,9,-,-,-,Dead
L2,31,A,WL1,7,24,1.8,1.3,Y,
L2,31,B,FR,3,13,4.1,2.9,Y,
L2,32,A,CC,5,3,6.5,3.4,Y,
L2,32,B,SQ1,7,20,2,1.1,Y,
L2,33,A,WL1,1,12,-,-,-,Dead
L2,33,B,SQ2,4,3,-,-,-,Dead
L2,34,A,WL1,6,13,2.4,2.2,Y,
L2,34,B,TM2,5,8,7.7,3.9,N,
L2,35,A,TM2,4,9,8.1,4.4,N,
L2,35,B,SC,5,9,-,-,-,Dead
L2,36,A,FR,1,9,-,-,-,Dead
L2,36,B,YO4,2,2,-,-,-,Dead
L2,37,A,WL1,6,3,-,-,-,Dead
L2,37,B,DPR,6,3,3.3,3.2,N,
L2,38,A,WL1,4,14,-,-,-,Dead
L2,38,B,BH,3,4,-,-,-,Dead
L2,39,A,SQ1,1,7,-,-,-,Dead
L2,39,B,LV3,6,8,-,-,-,Dead
L2,40,A,LV1,7,2,-,-,-,Dead
L2,40,B,YO8,7,11,1.8,3,Y,
L2,41,A,WL2,5,1,2.4,1.5,Y,
L2,41,B,SQ1,2,4,-,-,-,Dead
L2,42,A,CC,1,9,-,-,-,Dead
L2,42,B,SC,6,8,-,-,-,Dead
L2,43,A,buffer,,,,,,
L2,43,B,buffer,,,,,,
L2,44,A,buffer,,,,,,
L2,44,B,buffer,,,,,,
L1,1,C,buffer,,,,,,
L1,1,D,buffer,,,,,,
L1,2,C,buffer,,,,,,
L1,2,D,buffer,,,,,,
L1,3,C,SQ3,4,3,0.4,2.4,N,
L1,3,D,SQ1,7,11,2.1,3.8,N,
L1,4,C,SQ1,5,13,-,-,-,Dead
L1,4,D,BH,4,10,1.9,3.4,N,
L1,5,C,YO7,2,1,0.2,2.5,N,
L1,5,D,WL1,1,11,3.1,2,Y,
L1,6,C,LV3,1,4,2.8,1.9,N,
L1,6,D,WL1,6,18,3.3,3,N,
L1,7,C,WR,2,2,1.3,3.1,N,
L1,7,D,SC,4,6,2.6,5.6,N,
L1,8,C,WL1,6,12,2.1,3,N,
L1,8,D,WL1,7,9,2.8,2.9,Y,
L1,9,C,CP2,10,1,-,-,-,dead
L1,9,D,SQ1,7,1,-,-,-,Dead
L1,10,C,WL1,1,1,0.8,1.7,Y,
L1,10,D,LV3,8,1,1.5,1.9,N,
L1,11,C,FR,2,10,-,-,-,Dead
L1,11,D,IH,7,10,1.8,1.9,N,
L1,12,C,SQ1,2,9,0.4,1.9,N,
L1,12,D,CP2,8,2,-,-,-,Dead
L1,13,C,BH,3,13,1.9,4,Y,
L1,13,D,BH,5,22,3.2,4.2,N,
L1,14,C,YO8,7,2,1.9,0.2,N,
L1,14,D,CC,1,1,-,-,-,Dead
L1,15,C,WL1,3,3,-,-,-,Dead
L1,15,D,WL1,4,8,2.7,2.9,Y,
L1,16,C,BH,6,5,4,5.2,N,
L1,16,D,DPR,6,13,4.1,3.3,N,
L1,17,C,CC,7,3,4.1,3.1,N,
L1,17,D,CC,5,11,-,-,-,Dead
L1,18,C,CP3,9,2,-,-,-,Dead
L1,18,D,BH,7,12,3,1.9,Y,
L1,19,C,WL2,7,3,2.3,2.8,Y,
L1,19,D,SQ2,6,12,1.9,2.2,N,
L1,20,C,WL1,6,28,1.4,2.2,N,wilted
L1,20,D,LV3,7,10,1.8,1.9,N,
L1,21,C,LV3,5,8,-,-,-,Dead
L1,21,D,SQ1,1,6,0.9,2.3,N,
L1,22,C,buffer,,,,,,
L1,22,D,CC,3,8,-,-,-,Dead
L2,23,C,LV3,3,3,-,-,-,Dead
L2,23,D,buffer,,,,,,
L2,24,C,CC,6,10,-,-,-,Dead
L2,24,D,LV3,8,3,-,-,-,Dead
L2,25,C,BH,5,23,-,-,-,Dead
L2,25,D,FR,7,11,-,-,-,Dead
L2,26,C,WR,1,7,0.8,0.9,Y,
L2,26,D,VTR,7,2,-,-,-,Dead
L2,27,C,SQ3,3,3,1.1,2.2,Y,
L2,27,D,WL1,4,9,2.1,3.3,Y,
L2,28,C,BH,6,6,2.8,1.7,Y,
L2,28,D,BH,2,7,3.1,3.8,Y,
L2,29,C,LVTR,1,11,-,-,-,Dead
L2,29,D,BH,3,14,1.8,3.5,N,
L2,30,C,BH,4,11,4.5,4.4,N,
L2,30,D,TM2,3,4,5,4.8,N,
L2,31,C,SC,1,8,3.1,4.3,Y,
L2,31,D,LV3,5,9,1.8,2.4,Y,
L2,32,C,CP2,1,1,0.7,2.8,Y,
L2,32,D,CC,2,7,-,-,-,Dead
L2,33,C,DPR,2,2,4.9,3.5,N,
L2,33,D,WL2,4,10,-,-,-,Dead
L2,34,C,BH,5,8,3.8,4.2,N,
L2,34,D,WL1,7,14,-,-,-,Dead
L2,35,C,WL1,7,10,4.6,3.5,Y,
L2,35,D,LV3,1,5,-,-,-,Dead
L2,36,C,WL1,3,5,-,-,-,Dead
L2,36,D,SQ1,6,2,-,-,-,Dead
L2,37,C,SQ2,6,1,-,-,-,Dead
L2,37,D,BH,7,16,3.6,3.7,N,
L2,38,C,SQ1,7,2,3.8,3.9,N,
L2,38,D,SQ1,7,12,3.4,3.5,Y,
L2,39,C,LV3,7,11,2.2,1.9,Y,
L2,39,D,YO7,4,2,0.9,0.6,N,
L2,40,C,IH,7,11,4.5,4.8,N,
L2,40,D,BH,7,13,4,4.5,N,
L2,41,C,FR,4,13,2.9,3.1,Y,
L2,41,D,BH,4,1,3.1,3.1,N,
L2,42,C,BH,7,3,-,-,-,Dead
L2,42,D,IH,4,9,1.8,3,N,
L2,43,C,buffer,,,,,,
L2,43,D,buffer,,,,,,
L2,44,C,buffer,,,,,,
L2,44,D,buffer,,,,,,